original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Toy Story 3,BV,652000000,2010-06-18,200000000.0,415004880.0,1068879522.0
Inception,WB,535700000,2010-07-16,160000000.0,292576195.0,835524642.0
Shrek Forever After,P/DW,513900000,2010-05-21,165000000.0,238736787.0,756244673.0
The Twilight Saga: Eclipse,Sum.,398000000,2010-06-30,68000000.0,300531751.0,706102828.0
Iron Man 2,Par.,311500000,2010-05-07,170000000.0,312433331.0,621156389.0
Tangled,BV,391000000,2010-11-24,260000000.0,200821936.0,586477240.0
Despicable Me,Uni.,291600000,2010-07-09,69000000.0,251513985.0,543464573.0
How to Train Your Dragon,P/DW,277300000,2010-03-26,165000000.0,217581232.0,494870992.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,311300000,2010-12-10,155000000.0,104386950.0,418186950.0
The Karate Kid,Sony,182500000,2010-06-11,40000000.0,176591618.0,351774938.0
The Karate Kid,Sony,182500000,1984-06-22,8000000.0,90815558.0,90815558.0
Black Swan,FoxS,222400000,2010-12-03,13000000.0,106954678.0,331266710.0
Megamind,P/DW,173500000,2010-11-05,130000000.0,148415853.0,321887208.0
Robin Hood,Uni.,216400000,2010-05-14,210000000.0,105487148.0,322459006.0
Robin Hood,Uni.,216400000,2018-11-21,99000000.0,30824628.0,84747441.0
The Last Airbender,Par.,187900000,2010-07-01,150000000.0,131772187.0,319713881.0
Little Fockers,Uni.,162200000,2010-12-22,100000000.0,148438600.0,310650574.0
Resident Evil: Afterlife,SGem,240100000,2010-09-10,57500000.0,60128566.0,295874190.0
Shutter Island,Par.,166800000,2010-02-19,80000000.0,128012934.0,299461782.0
Salt,Sony,175200000,2010-07-23,130000000.0,118311368.0,290650494.0
Sex and the City 2,WB (NL),193000000,2010-05-27,95000000.0,95347692.0,294680778.0
The Tourist,Sony,210700000,2010-12-10,100000000.0,67631157.0,278731369.0
The Expendables,LGF,171400000,2010-08-13,82000000.0,103068524.0,268268174.0
Grown Ups,Sony,109400000,2010-06-25,75000000.0,162001186.0,272223430.0
True Grit,Par.,81000000,2010-12-22,35000000.0,171243005.0,252276928.0
Gulliver's Travels,Fox,194600000,2010-12-25,112000000.0,42779261.0,232017848.0
The Social Network,Sony,128000000,2010-10-01,40000000.0,96962694.0,224922135.0
Valentine's Day,WB (NL),106000000,2010-02-12,52000000.0,110485654.0,217569328.0
The Sorcerer's Apprentice,BV,152100000,2010-07-14,160000000.0,63150991.0,217986320.0
Due Date,WB,111200000,2010-11-05,65000000.0,100539043.0,211739043.0
Eat Pray Love,Sony,124000000,2010-08-13,60000000.0,80574010.0,206598789.0
Yogi Bear,WB,101300000,2010-12-17,80000000.0,100246011.0,204774690.0
Red,Sum.,108600000,2010-10-15,60000000.0,90380162.0,196439693.0
Paranormal Activity 2,Par.,92800000,2010-10-20,3000000.0,84752907.0,177512032.0
The A-Team,Fox,100000000,2010-06-11,110000000.0,77222099.0,177241171.0
The Other Guys,Sony,51200000,2010-08-06,100000000.0,119219978.0,170936470.0
Unstoppable,Fox,86200000,2010-11-12,95000000.0,81562942.0,165720921.0
