original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
en,Harry Potter and the Deathly Hallows: Part 1,33.533,11,7.7,10788,146.0,"Adventure,Fantasy,Mystery",7.7,425530
en,How to Train Your Dragon,28.734,3,7.7,7610,98.0,"Action,Adventure,Animation",8.1,611299
en,Iron Man 2,28.515,5,6.8,12368,124.0,"Action,Adventure,Sci-Fi",7.0,657690
en,Inception,27.92,7,8.3,22186,148.0,"Action,Adventure,Sci-Fi",8.8,1841066
en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2,6.1,4229,118.0,"Adventure,Family,Fantasy",5.9,165108
en,Toy Story 3,24.445,6,7.7,8340,103.0,"Adventure,Animation,Comedy",8.3,682218
en,Despicable Me,23.673,7,7.2,10057,95.0,"Animation,Comedy,Family",7.7,464511
en,Megamind,22.855,11,6.8,3635,95.0,"Action,Animation,Comedy",7.3,207488
en,Alice in Wonderland,22.02,3,6.6,8713,108.0,"Adventure,Family,Fantasy",6.5,358813
en,Alice in Wonderland,22.02,3,6.6,8713,99.0,"Fantasy,Musical",6.5,6
en,Alice in Wonderland,0.6,1,6.0,1,108.0,"Adventure,Family,Fantasy",6.5,358813
en,Alice in Wonderland,0.6,1,6.0,1,99.0,"Fantasy,Musical",6.5,6
en,The Expendables,21.517,8,6.1,4647,103.0,"Action,Adventure,Thriller",6.5,307897
en,Tangled,21.511,11,7.5,6407,100.0,"Adventure,Animation,Comedy",7.8,366366
en,Saw 3D,20.37,10,6.0,1488,90.0,"Crime,Horror,Mystery",5.6,83532
en,The Twilight Saga: Eclipse,20.34,6,6.0,4909,124.0,"Adventure,Drama,Fantasy",5.0,211733
en,The Book of Eli,18.985,1,6.7,3495,118.0,"Action,Adventure,Drama",6.9,271307
en,Shutter Island,18.06,2,8.1,12625,138.0,"Mystery,Thriller",8.1,1005960
en,Knight and Day,17.713,6,6.0,2494,109.0,"Action,Adventure,Comedy",6.3,169840
en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,12,6.3,3196,113.0,"Adventure,Family,Fantasy",6.3,129663
en,Step Up 3D,17.174,8,6.7,1160,107.0,"Drama,Music,Romance",6.2,53081
en,The A-Team,17.097,6,6.3,2703,117.0,"Action,Adventure,Thriller",6.8,235256
en,The King's Speech,16.798,9,7.7,5013,118.0,"Biography,Drama,History",8.0,593629
en,The Last Airbender,16.595,7,4.6,2143,103.0,"Action,Adventure,Family",4.1,137734
en,Predators,16.216,7,6.1,1979,107.0,"Action,Adventure,Sci-Fi",6.4,199764
en,The Social Network,15.889,10,7.2,6116,120.0,"Biography,Drama",7.7,568578
en,Clash of the Titans,15.574,4,5.7,3714,106.0,"Action,Adventure,Fantasy",5.8,256176
en,Robin Hood,15.444,5,6.3,2569,140.0,"Action,Adventure,Drama",6.6,239480
en,Robin Hood,15.444,5,6.3,2569,92.0,"Action,Drama",6.3,78
en,Robin Hood,15.444,5,6.3,2569,116.0,"Action,Adventure,Thriller",5.3,41588
en,Robin Hood,39.975,11,5.8,1194,140.0,"Action,Adventure,Drama",6.6,239480
en,Robin Hood,39.975,11,5.8,1194,92.0,"Action,Drama",6.3,78
en,Robin Hood,39.975,11,5.8,1194,116.0,"Action,Adventure,Thriller",5.3,41588
en,Nanny McPhee and the Big Bang,15.213,8,6.1,953,109.0,"Comedy,Family,Fantasy",6.1,25048
en,Shrek Forever After,15.041,5,6.1,3843,93.0,"Adventure,Animation,Comedy",6.3,167532
en,Easy A,14.69,9,6.8,4168,92.0,"Comedy,Drama,Romance",7.1,330125
en,The Sorcerer's Apprentice,14.463,7,5.9,2879,109.0,"Action,Adventure,Family",6.1,143862
en,Scott Pilgrim vs. the World,14.383,8,7.3,3882,112.0,"Action,Comedy,Fantasy",7.5,339338
en,Grown Ups,14.291,6,6.1,3171,102.0,Comedy,6.0,210377
en,Faster,14.172,11,6.2,895,98.0,"Action,Crime,Drama",6.5,93618
en,The Wolfman,14.03,2,5.7,1009,103.0,"Drama,Fantasy,Horror",5.8,97873
en,Unstoppable,14.01,11,6.4,1913,98.0,"Action,Thriller",6.8,173019
en,Unstoppable,14.01,11,6.4,1913,65.0,Documentary,4.3,551
en,Unstoppable,14.01,11,6.4,1913,84.0,Documentary,8.1,8
en,Unstoppable,0.6,9,1.6,4,98.0,"Action,Thriller",6.8,173019
en,Unstoppable,0.6,9,1.6,4,65.0,Documentary,4.3,551
en,Unstoppable,0.6,9,1.6,4,84.0,Documentary,8.1,8
en,Black Swan,13.745,12,7.6,8374,108.0,"Drama,Thriller",8.0,648854
es,Tres metros sobre el cielo,13.721,12,7.5,960,118.0,"Action,Drama,Romance",7.1,21173
en,Centurion,13.548,2,6.1,673,97.0,"Action,Adventure,Drama",6.4,74085
en,The Other Guys,13.508,8,6.2,2187,107.0,"Action,Comedy,Crime",6.7,221664
en,The Town,13.476,9,7.1,2386,125.0,"Crime,Drama,Thriller",7.6,322524
en,Jonah Hex,13.467,6,4.6,708,81.0,"Action,Drama,Fantasy",4.7,51860
en,Prince of Persia: The Sands of Time,13.44,5,6.2,4040,116.0,"Action,Adventure,Fantasy",6.6,254975
en,True Grit,13.118,12,7.2,2816,110.0,"Adventure,Drama,Western",7.6,284034
en,I Spit on Your Grave,13.102,10,6.3,977,108.0,"Horror,Thriller",6.3,68592
en,Kick-Ass,13.08,4,7.1,7540,117.0,"Action,Comedy",7.6,497363
en,Salt,13.025,7,6.3,3240,100.0,"Action,Mystery,Thriller",6.4,277204
en,Salt,0.632,8,1.0,1,100.0,"Action,Mystery,Thriller",6.4,277204
en,From Paris with Love,12.862,2,6.2,1075,92.0,"Action,Crime,Thriller",6.5,107079
